Year,LapNumber,Attacker_Driver,Defender_Driver,Attacker_Position,Attacker_LapTime,Attacker_TyreLife,Attacker_Compound,Defender_LapTime,Defender_TyreLife,Defender_Compound,Delta_LapTime,Delta_TyreLife,Compound_Advantage,Estimated_Gap,IsOvertake
2022,5.0,ALO,NOR,7.0,87.502,5.0,MEDIUM,87.553,5.0,MEDIUM,-0.05100000000000193,0.0,0,0.025500000000000966,0
2022,5.0,DEV,ALO,8.0,87.428,5.0,SOFT,87.502,5.0,MEDIUM,-0.07399999999999807,0.0,1,0.036999999999999034,0
2022,5.0,ZHO,DEV,9.0,87.546,5.0,MEDIUM,87.428,5.0,SOFT,0.11800000000000921,0.0,-1,0.059000000000004604,0
2022,5.0,STR,ZHO,10.0,87.637,6.0,MEDIUM,87.546,5.0,MEDIUM,0.09099999999999397,1.0,0,0.04549999999999699,0
2022,5.0,SAI,STR,11.0,86.543,5.0,MEDIUM,87.637,6.0,MEDIUM,-1.093999999999994,-1.0,0,0.546999999999997,1
2022,5.0,VET,SAI,12.0,87.928,6.0,MEDIUM,86.543,5.0,MEDIUM,1.384999999999991,1.0,0,0.6924999999999955,0
2022,5.0,OCO,VET,13.0,88.005,5.0,SOFT,87.928,6.0,MEDIUM,0.07699999999999818,-1.0,1,0.03849999999999909,0
2022,5.0,PER,OCO,14.0,87.266,5.0,MEDIUM,88.005,5.0,SOFT,-0.7389999999999901,0.0,-1,0.36949999999999505,1
2022,5.0,MAG,PER,15.0,88.126,5.0,MEDIUM,87.266,5.0,MEDIUM,0.8599999999999994,0.0,0,0.4299999999999997,0
2022,5.0,LAT,MAG,16.0,87.837,5.0,MEDIUM,88.126,5.0,MEDIUM,-0.2890000000000015,0.0,0,0.14450000000000074,0
2022,5.0,TSU,LAT,17.0,87.638,5.0,MEDIUM,87.837,5.0,MEDIUM,-0.19899999999999807,0.0,0,0.09949999999999903,0
2022,5.0,HAM,TSU,18.0,87.806,5.0,MEDIUM,87.638,5.0,MEDIUM,0.16799999999999216,0.0,0,0.08399999999999608,0
2022,5.0,MSC,HAM,19.0,87.412,5.0,MEDIUM,87.806,5.0,MEDIUM,-0.39399999999999125,0.0,0,0.19699999999999562,0
2022,5.0,BOT,MSC,20.0,87.56,5.0,MEDIUM,87.412,5.0,MEDIUM,0.14799999999999613,0.0,0,0.07399999999999807,0
2022,6.0,VER,LEC,2.0,85.66,6.0,SOFT,85.559,6.0,SOFT,0.10099999999999909,0.0,0,0.050499999999999545,0
2022,6.0,RUS,VER,3.0,85.761,6.0,SOFT,85.66,6.0,SOFT,0.10099999999999909,0.0,0,0.050499999999999545,0
2022,6.0,RIC,RUS,4.0,87.406,6.0,MEDIUM,85.761,6.0,SOFT,1.6450000000000102,0.0,-1,0.8225000000000051,0
2022,6.0,GAS,RIC,5.0,87.316,6.0,MEDIUM,87.406,6.0,MEDIUM,-0.09000000000000341,0.0,0,0.045000000000001705,0
2022,6.0,NOR,GAS,6.0,87.381,6.0,MEDIUM,87.316,6.0,MEDIUM,0.06499999999999773,0.0,0,0.03249999999999886,0
2022,6.0,ALO,NOR,7.0,87.446,6.0,MEDIUM,87.381,6.0,MEDIUM,0.06499999999999773,0.0,0,0.03249999999999886,0
2022,6.0,DEV,ALO,8.0,87.466,6.0,SOFT,87.446,6.0,MEDIUM,0.01999999999999602,0.0,1,0.00999999999999801,0
2022,6.0,ZHO,DEV,9.0,87.369,6.0,MEDIUM,87.466,6.0,SOFT,-0.0969999999999942,0.0,-1,0.0484999999999971,0
2022,6.0,SAI,ZHO,10.0,86.343,6.0,MEDIUM,87.369,6.0,MEDIUM,-1.0259999999999962,0.0,0,0.5129999999999981,0
2022,6.0,STR,SAI,11.0,88.499,7.0,MEDIUM,86.343,6.0,MEDIUM,2.1559999999999917,1.0,0,1.0779999999999959,0
2022,6.0,VET,STR,12.0,88.087,7.0,MEDIUM,88.499,7.0,MEDIUM,-0.41199999999999193,0.0,0,0.20599999999999596,0
2022,6.0,PER,VET,13.0,87.535,6.0,MEDIUM,88.087,7.0,MEDIUM,-0.5520000000000067,-1.0,0,0.27600000000000335,0
2022,6.0,OCO,PER,14.0,88.533,6.0,SOFT,87.535,6.0,MEDIUM,0.9980000000000047,0.0,1,0.49900000000000233,1
2022,6.0,MAG,OCO,15.0,87.918,6.0,MEDIUM,88.533,6.0,SOFT,-0.6149999999999949,0.0,-1,0.30749999999999744,1
2022,6.0,LAT,MAG,16.0,87.773,6.0,MEDIUM,87.918,6.0,MEDIUM,-0.14500000000001023,0.0,0,0.07250000000000512,0
2022,6.0,TSU,LAT,17.0,87.372,6.0,MEDIUM,87.773,6.0,MEDIUM,-0.40099999999999625,0.0,0,0.20049999999999812,1
2022,6.0,HAM,TSU,18.0,87.335,6.0,MEDIUM,87.372,6.0,MEDIUM,-0.03700000000000614,0.0,0,0.01850000000000307,1
2022,6.0,MSC,HAM,19.0,87.712,6.0,MEDIUM,87.335,6.0,MEDIUM,0.37700000000000955,0.0,0,0.18850000000000477,0
2022,6.0,BOT,MSC,20.0,87.704,6.0,MEDIUM,87.712,6.0,MEDIUM,-0.008000000000009777,0.0,0,0.0040000000000048885,0
